"PortPairDistance_ID","Code","Description","OriginPortID","DestinationPortID","Distance","Remarks","IsActive","CreatedBy"
"1","PP0001","Abu Dhabi-Abu Dhabi","1","1","0",,"1","1"
"2","PP0002","Abu Dhabi-SITRA","1","2","298",,"1","1"
"3","PP0003","Abu Dhabi-Bandar Abbas","1","3","251",,"1","1"
"4","PP0004","Abu Dhabi-Sharjah","1","4","81",,"1","1"
"5","PP0005","Abu Dhabi-Aden","1","5","7145",,"1","1"
"6","PP0006","Abu Dhabi-Dammam","1","6","388",,"1","1"
"7","PP0007","Abu Dhabi-Hodeidah","1","7","1913",,"1","1"
"8","PP0008","Abu Dhabi-Jeddah","1","8","2452",,"1","1"
"9","PP0009","Abu Dhabi-Muscat. Oman","1","9","456",,"1","1"
"10","PP0010","Abu Dhabi-Salalah","1","10","1080",,"1","1"
"11","PP0011","Abu Dhabi-Sohar","1","11","345",,"1","1"
"12","PP0012","Abu Dhabi-Chennai","1","12","2620",,"1","1"
"13","PP0013","Abu Dhabi-Chittagong","1","13","3734",,"1","1"
"14","PP0014","Abu Dhabi-Cochin","1","14","2026",,"1","1"
"15","PP0015","Abu Dhabi-Colombo","1","15","2357",,"1","1"
"16","PP0016","Abu Dhabi-Haldia ","1","16","3488",,"1","1"
"17","PP0017","Abu Dhabi-Jawaharlal Nehru","1","17","1416",,"1","1"
"18","PP0018","Abu Dhabi-Kandla","1","18","1130",,"1","1"
"19","PP0019","Abu Dhabi-Kolkata","1","19","3511",,"1","1"
"20","PP0020","Abu Dhabi-Pipavav","1","20","1272",,"1","1"
"21","PP0021","Abu Dhabi-Port Qasim","1","21","827",,"1","1"
"22","PP0022","Abu Dhabi-Dar es Salaam","1","22","2979",,"1","1"
"23","PP0023","Abu Dhabi-Mombasa","1","23","2789",,"1","1"
"24","PP0024","Abu Dhabi-Port Louis","1","24","3140",,"1","1"
"25","PP0025","Abu Dhabi-Toamasina","1","25","3380",,"1","1"
"26","PP0026","Abu Dhabi-Victoria","1","26","-1",,"1","1"
"27","PP0027","Abu Dhabi-Port Saint Denis","1","27","3299",,"1","1"
"28","PP0028","Abu Dhabi-Djibouti","1","28","1850",,"1","1"
